timestamp,total_time_ms,preprocess_ms,find_gap_ms,find_best_point_ms,control_ms,scan_size,frequency_hz
1750584584985,0.055,0.013,0.004,0.004,0.001,1080,220.6
1750584584989,0.047,0.013,0.004,0.004,0.001,1080,298.1
1750584584993,0.043,0.013,0.004,0.004,0.001,1080,247.7
1750584584998,0.059,0.014,0.005,0.004,0.002,1080,209.9
1750584585002,0.083,0.014,0.005,0.004,0.001,1080,243.6
1750584585005,0.078,0.013,0.004,0.003,0.000,1080,280.1
1750584585019,0.065,0.014,0.005,0.004,0.001,1080,71.7
1750584585023,0.053,0.014,0.005,0.004,0.001,1080,280.8
1750584585025,0.057,0.013,0.004,0.004,0.001,1080,479.2
1750584585029,0.063,0.013,0.004,0.004,0.001,1080,257.2
1750584585034,0.048,0.013,0.004,0.003,0.000,1080,210.0
1750584585038,0.111,0.013,0.004,0.003,0.000,1080,242.9
1750584585041,0.048,0.014,0.004,0.004,0.001,1080,302.7
1750584585045,0.034,0.013,0.004,0.004,0.001,1080,260.9
1750584585049,0.045,0.014,0.004,0.004,0.001,1080,245.9
1750584585053,0.066,0.013,0.004,0.004,0.001,1080,248.5
1750584585058,0.055,0.014,0.005,0.004,0.002,1080,207.7
1750584585061,0.049,0.013,0.004,0.004,0.001,1080,268.6
1750584585065,0.051,0.014,0.004,0.004,0.000,1080,251.7
1750584585069,0.047,0.013,0.004,0.003,0.000,1080,287.2
1750584585079,0.048,0.014,0.005,0.004,0.002,1080,96.2
1750584585081,0.044,0.013,0.004,0.003,0.001,1080,648.3
1750584585085,0.052,0.014,0.005,0.004,0.001,1080,240.8
1750584585089,0.050,0.014,0.005,0.003,0.001,1080,251.7
1750584585094,0.044,0.014,0.005,0.004,0.000,1080,215.3
1750584585098,0.043,0.014,0.005,0.004,0.001,1080,234.2
1750584585101,0.038,0.015,0.005,0.004,0.000,1080,282.9
1750584585105,0.049,0.015,0.005,0.004,0.001,1080,286.2
1750584585109,0.044,0.014,0.005,0.004,0.001,1080,252.9
1750584585113,0.052,0.015,0.005,0.004,0.001,1080,241.1
1750584585117,0.049,0.014,0.005,0.004,0.001,1080,223.7
1750584585121,0.053,0.014,0.005,0.004,0.001,1080,282.7
1750584585126,0.047,0.014,0.005,0.004,0.000,1080,219.1
1750584585129,0.040,0.014,0.005,0.004,0.001,1080,301.3
1750584585134,0.048,0.015,0.005,0.004,0.000,1080,211.1
1750584585137,0.051,0.015,0.005,0.004,0.001,1080,265.9
1750584585141,0.043,0.014,0.005,0.004,0.001,1080,288.4
1750584585145,0.058,0.014,0.010,0.004,0.001,1080,245.5
1750584585149,0.046,0.013,0.004,0.004,0.001,1080,252.5
1750584585153,0.049,0.014,0.005,0.004,0.001,1080,237.0
1750584585158,0.040,0.014,0.005,0.004,0.001,1080,202.6
1750584585161,0.037,0.014,0.005,0.004,0.000,1080,350.3
1750584585166,0.040,0.014,0.005,0.004,0.001,1080,210.2
1750584585169,0.043,0.014,0.005,0.004,0.001,1080,309.1
1750584585173,0.042,0.015,0.005,0.004,0.001,1080,254.3
1750584585181,0.058,0.015,0.005,0.004,0.001,1080,122.1
1750584585185,0.050,0.014,0.005,0.004,0.001,1080,242.2
1750584585189,0.041,0.013,0.004,0.003,0.001,1080,272.4
1750584585194,0.051,0.014,0.005,0.004,0.000,1080,206.2
1750584585198,0.038,0.014,0.005,0.004,0.001,1080,247.5
1750584585211,0.056,0.015,0.005,0.004,0.002,1080,74.4
1750584585213,0.044,0.013,0.004,0.003,0.001,1080,586.8
1750584585218,0.048,0.014,0.005,0.004,0.001,1080,210.4
1750584585221,0.043,0.013,0.004,0.003,0.000,1080,261.5
1750584585226,0.051,0.014,0.005,0.004,0.000,1080,238.0
1750584585229,0.045,0.014,0.005,0.004,0.001,1080,306.9
1750584585233,0.048,0.014,0.005,0.004,0.001,1080,243.3
1750584585237,0.047,0.014,0.004,0.004,0.001,1080,228.3
1750584585241,0.053,0.014,0.004,0.004,0.001,1080,281.5
1750584585245,0.051,0.014,0.005,0.004,0.001,1080,235.3
1750584585249,0.047,0.014,0.005,0.004,0.001,1080,262.2
1750584585254,0.041,0.015,0.005,0.004,0.000,1080,218.6
1750584585258,0.047,0.014,0.005,0.004,0.000,1080,236.7
1750584585261,0.040,0.015,0.005,0.004,0.000,1080,274.3
1750584585265,0.050,0.015,0.005,0.004,0.001,1080,284.1
1750584585269,0.053,0.014,0.005,0.004,0.001,1080,255.8
1750584585273,0.045,0.015,0.005,0.004,0.001,1080,246.7
1750584585277,0.046,0.014,0.005,0.003,0.001,1080,217.2
1750584585281,0.053,0.014,0.005,0.004,0.001,1080,277.8
1750584585285,0.040,0.013,0.004,0.003,0.000,1080,268.2
1750584585289,0.038,0.013,0.004,0.003,0.000,1080,250.4
1750584585294,0.033,0.014,0.005,0.004,0.000,1080,210.6
1750584585297,0.048,0.015,0.005,0.004,0.001,1080,262.7
1750584585301,0.041,0.013,0.004,0.004,0.001,1080,285.2
1750584585305,0.047,0.013,0.004,0.004,0.001,1080,249.0
1750584585309,0.044,0.014,0.004,0.004,0.001,1080,246.3
1750584585313,0.045,0.014,0.005,0.004,0.001,1080,243.5
1750584585318,0.044,0.015,0.006,0.004,0.001,1080,207.2
1750584585321,0.041,0.014,0.005,0.004,0.000,1080,287.7
1750584585326,0.049,0.015,0.005,0.004,0.000,1080,240.6
1750584585329,0.042,0.016,0.005,0.004,0.001,1080,293.7
1750584585333,0.041,0.014,0.005,0.004,0.001,1080,255.5
